time,ktas,beds_available,op_rooms_available,hospital_name,day_of_week,day,hour
14,5,8,0,병원 2,0,1,0
175,3,8,0,병원 2,0,1,2
193,3,7,0,병원 2,0,1,3
222,4,6,0,병원 2,0,1,3
288,4,6,0,병원 2,0,1,4
429,3,6,0,병원 2,0,1,7
435,4,5,0,병원 2,0,1,7
487,4,6,0,병원 2,0,1,8
508,3,7,0,병원 2,0,1,8
570,4,6,0,병원 2,0,1,9
663,4,6,0,병원 2,0,1,11
704,4,6,0,병원 2,0,1,11
826,4,7,0,병원 2,0,1,13
836,4,7,0,병원 2,0,1,13
969,3,8,0,병원 2,0,1,16
1042,4,7,0,병원 2,0,1,17
1159,5,7,0,병원 2,0,1,19
1175,3,8,0,병원 2,0,1,19
1311,4,7,0,병원 2,0,1,21
1352,4,7,0,병원 2,0,1,22
1368,4,7,0,병원 2,0,1,22
1382,4,7,0,병원 2,0,1,23
1438,4,7,0,병원 2,0,1,23
1573,2,7,0,병원 2,1,2,2
1658,4,7,0,병원 2,1,2,3
1669,4,7,0,병원 2,1,2,3
2206,5,7,0,병원 2,1,2,12
2247,5,7,0,병원 2,1,2,13
2256,5,7,0,병원 2,1,2,13
2265,5,7,0,병원 2,1,2,13
2301,4,7,0,병원 2,1,2,14
2349,4,7,0,병원 2,1,2,15
2354,4,7,0,병원 2,1,2,15
2356,4,7,0,병원 2,1,2,15
2357,4,7,0,병원 2,1,2,15
2432,4,7,0,병원 2,1,2,16
2513,5,8,0,병원 2,1,2,17
2540,4,8,0,병원 2,1,2,18
2563,4,8,0,병원 2,1,2,18
2615,4,8,0,병원 2,1,2,19
2630,4,8,0,병원 2,1,2,19
2667,4,8,0,병원 2,1,2,20
2774,5,8,0,병원 2,1,2,22
2832,3,8,0,병원 2,1,2,23
2837,4,7,0,병원 2,1,2,23
2925,5,7,0,병원 2,2,3,0
2943,5,7,0,병원 2,2,3,1
3002,5,7,0,병원 2,2,3,2
3141,3,7,0,병원 2,2,3,4
3344,3,7,0,병원 2,2,3,7
3459,3,6,0,병원 2,2,3,9
3564,5,6,0,병원 2,2,3,11
3725,3,8,0,병원 2,2,3,14
3745,4,7,0,병원 2,2,3,14
3803,4,7,0,병원 2,2,3,15
3908,5,7,0,병원 2,2,3,17
3924,3,7,0,병원 2,2,3,17
3931,4,6,0,병원 2,2,3,17
4002,4,6,0,병원 2,2,3,18
4016,4,6,0,병원 2,2,3,18
4054,4,6,0,병원 2,2,3,19
4153,5,6,0,병원 2,2,3,21
4165,5,6,0,병원 2,2,3,21
4211,5,7,0,병원 2,2,3,22
4363,3,7,0,병원 2,3,4,0
4397,4,7,0,병원 2,3,4,1
4573,5,7,0,병원 2,3,4,4
4843,4,8,0,병원 2,3,4,8
4962,3,8,0,병원 2,3,4,10
5033,3,7,0,병원 2,3,4,11
5077,3,6,0,병원 2,3,4,12
5109,4,5,0,병원 2,3,4,13
5155,2,5,0,병원 2,3,4,13
5196,4,4,0,병원 2,3,4,14
5294,3,4,0,병원 2,3,4,16
5342,4,3,0,병원 2,3,4,17
5466,4,6,0,병원 2,3,4,19
5628,4,6,0,병원 2,3,4,21
5743,4,7,0,병원 2,3,4,23
5793,4,7,0,병원 2,4,5,0
5924,3,7,0,병원 2,4,5,2
6418,4,8,0,병원 2,4,5,10
6502,2,8,0,병원 2,4,5,12
6555,5,7,0,병원 2,4,5,13
6674,4,7,0,병원 2,4,5,15
6722,4,7,0,병원 2,4,5,16
7160,3,8,0,병원 2,4,5,23
7260,5,7,0,병원 2,5,6,1
7421,4,7,0,병원 2,5,6,3
7835,5,8,0,병원 2,5,6,10
7848,4,8,0,병원 2,5,6,10
7869,3,8,0,병원 2,5,6,11
7878,5,7,0,병원 2,5,6,11
7941,3,7,0,병원 2,5,6,12
7961,4,6,0,병원 2,5,6,12
8004,5,6,0,병원 2,5,6,13
8038,3,6,0,병원 2,5,6,13
8048,5,5,0,병원 2,5,6,14
8092,4,5,0,병원 2,5,6,14
8113,3,5,0,병원 2,5,6,15
8118,3,4,0,병원 2,5,6,15
8241,4,4,0,병원 2,5,6,17
8386,4,6,0,병원 2,5,6,19
8412,4,6,0,병원 2,5,6,20
8425,4,6,0,병원 2,5,6,20
8454,4,6,0,병원 2,5,6,20
8480,4,6,0,병원 2,5,6,21
8670,3,8,0,병원 2,6,7,0
8701,3,7,0,병원 2,6,7,1
8742,3,6,0,병원 2,6,7,1
8763,5,5,0,병원 2,6,7,2
9193,4,8,0,병원 2,6,7,9
9242,4,8,0,병원 2,6,7,10
9264,4,8,0,병원 2,6,7,10
9321,4,8,0,병원 2,6,7,11
9424,5,8,0,병원 2,6,7,13
9447,3,8,0,병원 2,6,7,13
9498,4,7,0,병원 2,6,7,14
9623,5,7,0,병원 2,6,7,16
9648,5,7,0,병원 2,6,7,16
9673,5,7,0,병원 2,6,7,17
9759,5,8,0,병원 2,6,7,18
9819,4,8,0,병원 2,6,7,19
9921,5,8,0,병원 2,6,7,21
9972,4,8,0,병원 2,6,7,22
10049,5,8,0,병원 2,6,7,23
10063,5,8,0,병원 2,6,7,23
10135,4,8,0,병원 2,0,8,0
10276,4,8,0,병원 2,0,8,3
10335,3,8,0,병원 2,0,8,4
10874,4,8,0,병원 2,0,8,13
10924,4,8,0,병원 2,0,8,14
10962,5,8,0,병원 2,0,8,14
10978,4,8,0,병원 2,0,8,14
11092,3,8,0,병원 2,0,8,16
11179,4,7,0,병원 2,0,8,18
11263,3,7,0,병원 2,0,8,19
11269,3,6,0,병원 2,0,8,19
11301,3,5,0,병원 2,0,8,20
11313,5,4,0,병원 2,0,8,20
11317,4,4,0,병원 2,0,8,20
11465,5,4,0,병원 2,0,8,23
11513,4,5,0,병원 2,0,8,23
11545,4,6,0,병원 2,1,9,0
12024,4,8,0,병원 2,1,9,8
12042,5,8,0,병원 2,1,9,8
12049,3,8,0,병원 2,1,9,8
12067,5,7,0,병원 2,1,9,9
12131,4,7,0,병원 2,1,9,10
12153,4,7,0,병원 2,1,9,10
12274,3,7,0,병원 2,1,9,12
12601,4,7,0,병원 2,1,9,18
12656,2,7,0,병원 2,1,9,18
12747,4,7,0,병원 2,1,9,20
12810,3,7,0,병원 2,1,9,21
12815,4,6,0,병원 2,1,9,21
12818,5,6,0,병원 2,1,9,21
12825,4,6,0,병원 2,1,9,21
12837,4,6,0,병원 2,1,9,21
12853,5,6,0,병원 2,1,9,22
12913,5,6,0,병원 2,1,9,23
13014,5,8,0,병원 2,2,10,0
13059,5,8,0,병원 2,2,10,1
13094,4,8,0,병원 2,2,10,2
13109,4,8,0,병원 2,2,10,2
13202,4,8,0,병원 2,2,10,4
13242,5,8,0,병원 2,2,10,4
13517,5,8,0,병원 2,2,10,9
13584,3,8,0,병원 2,2,10,10
13622,4,7,0,병원 2,2,10,11
13655,5,7,0,병원 2,2,10,11
13768,4,7,0,병원 2,2,10,13
13881,5,8,0,병원 2,2,10,15
13882,5,8,0,병원 2,2,10,15
13901,4,8,0,병원 2,2,10,15
13910,4,8,0,병원 2,2,10,15
13959,5,8,0,병원 2,2,10,16
13979,4,8,0,병원 2,2,10,16
14013,4,8,0,병원 2,2,10,17
14100,4,8,0,병원 2,2,10,19
14154,4,8,0,병원 2,2,10,19
14180,4,8,0,병원 2,2,10,20
14351,5,8,0,병원 2,2,10,23
14357,5,8,0,병원 2,2,10,23
14442,4,8,0,병원 2,3,11,0
14525,4,8,0,병원 2,3,11,2
14599,5,8,0,병원 2,3,11,3
14933,5,8,0,병원 2,3,11,8
15040,5,8,0,병원 2,3,11,10
15068,4,8,0,병원 2,3,11,11
15147,4,8,0,병원 2,3,11,12
15241,4,8,0,병원 2,3,11,14
15336,4,8,0,병원 2,3,11,15
15472,3,8,0,병원 2,3,11,17
15544,4,7,0,병원 2,3,11,19
15617,5,7,0,병원 2,3,11,20
15678,4,7,0,병원 2,3,11,21
15942,5,8,0,병원 2,4,12,1
16343,4,8,0,병원 2,4,12,8
16475,4,8,0,병원 2,4,12,10
16506,4,8,0,병원 2,4,12,11
16595,5,8,0,병원 2,4,12,12
16644,5,8,0,병원 2,4,12,13
16647,3,8,0,병원 2,4,12,13
16662,5,7,0,병원 2,4,12,13
16671,4,7,0,병원 2,4,12,13
16872,3,7,0,병원 2,4,12,17
16951,4,7,0,병원 2,4,12,18
17188,4,8,0,병원 2,4,12,22
17189,4,8,0,병원 2,4,12,22
17195,4,8,0,병원 2,4,12,22
17234,5,8,0,병원 2,4,12,23
17235,4,8,0,병원 2,4,12,23
17296,2,8,0,병원 2,5,13,0
17324,4,7,0,병원 2,5,13,0
17750,4,7,0,병원 2,5,13,7
17957,5,7,0,병원 2,5,13,11
18186,4,7,0,병원 2,5,13,15
18311,3,8,0,병원 2,5,13,17
18342,4,7,0,병원 2,5,13,17
18426,2,7,0,병원 2,5,13,19
18605,4,7,0,병원 2,5,13,22
18655,5,7,0,병원 2,5,13,22
18703,4,7,0,병원 2,5,13,23
18708,5,7,0,병원 2,5,13,23
18719,5,7,0,병원 2,5,13,23
18744,3,7,0,병원 2,6,14,0
19051,5,7,0,병원 2,6,14,5
19117,3,8,0,병원 2,6,14,6
19236,5,7,0,병원 2,6,14,8
19304,3,7,0,병원 2,6,14,9
19326,4,6,0,병원 2,6,14,10
19362,3,7,0,병원 2,6,14,10
19388,5,6,0,병원 2,6,14,11
19404,5,6,0,병원 2,6,14,11
19450,4,6,0,병원 2,6,14,12
19458,3,6,0,병원 2,6,14,12
19459,3,5,0,병원 2,6,14,12
19464,5,4,0,병원 2,6,14,12
19544,4,4,0,병원 2,6,14,13
19562,3,4,0,병원 2,6,14,14
19621,4,4,0,병원 2,6,14,15
19711,5,6,0,병원 2,6,14,16
19712,4,6,0,병원 2,6,14,16
19721,4,6,0,병원 2,6,14,16
19794,5,7,0,병원 2,6,14,17
19889,4,7,0,병원 2,6,14,19
19915,5,7,0,병원 2,6,14,19
19919,4,7,0,병원 2,6,14,19
19954,4,7,0,병원 2,6,14,20
20002,5,7,0,병원 2,6,14,21
20014,4,7,0,병원 2,6,14,21
20046,3,8,0,병원 2,6,14,22
20065,4,7,0,병원 2,6,14,22
20080,3,7,0,병원 2,6,14,22
20112,5,6,0,병원 2,6,14,23
20339,3,6,0,병원 2,0,15,2
20487,4,6,0,병원 2,0,15,5
20712,3,8,0,병원 2,0,15,9
20849,5,7,0,병원 2,0,15,11
20891,3,7,0,병원 2,0,15,12
20977,3,6,0,병원 2,0,15,13
21002,4,5,0,병원 2,0,15,14
21049,4,5,0,병원 2,0,15,14
21116,5,6,0,병원 2,0,15,15
21158,5,6,0,병원 2,0,15,16
21194,3,7,0,병원 2,0,15,17
21352,4,7,0,병원 2,0,15,19
21488,5,7,0,병원 2,0,15,22
21508,3,7,0,병원 2,0,15,22
21556,4,7,0,병원 2,0,15,23
21570,5,7,0,병원 2,0,15,23
21580,4,7,0,병원 2,0,15,23
21586,5,7,0,병원 2,0,15,23
21629,4,7,0,병원 2,1,16,0
21699,4,7,0,병원 2,1,16,1
21861,4,7,0,병원 2,1,16,4
22184,4,8,0,병원 2,1,16,9
22215,4,8,0,병원 2,1,16,10
22440,3,8,0,병원 2,1,16,14
22453,5,7,0,병원 2,1,16,14
22525,4,7,0,병원 2,1,16,15
22538,5,7,0,병원 2,1,16,15
22546,3,7,0,병원 2,1,16,15
22788,4,8,0,병원 2,1,16,19
22845,5,8,0,병원 2,1,16,20
22942,3,8,0,병원 2,1,16,22
22955,5,7,0,병원 2,1,16,22
23027,4,7,0,병원 2,1,16,23
23039,5,7,0,병원 2,1,16,23
23335,3,7,0,병원 2,2,17,4
23387,4,7,0,병원 2,2,17,5
23712,3,7,0,병원 2,2,17,11
23767,4,7,0,병원 2,2,17,12
23861,4,7,0,병원 2,2,17,13
24055,5,8,0,병원 2,2,17,16
24059,5,8,0,병원 2,2,17,16
24067,5,8,0,병원 2,2,17,17
24101,5,8,0,병원 2,2,17,17
24116,4,8,0,병원 2,2,17,17
24221,3,8,0,병원 2,2,17,19
24319,4,7,0,병원 2,2,17,21
24324,5,7,0,병원 2,2,17,21
24349,4,7,0,병원 2,2,17,21
24537,4,8,0,병원 2,3,18,0
24637,4,8,0,병원 2,3,18,2
24663,5,8,0,병원 2,3,18,3
25191,3,8,0,병원 2,3,18,11
25222,3,7,0,병원 2,3,18,12
25344,4,6,0,병원 2,3,18,14
25482,5,7,0,병원 2,3,18,16
25508,5,7,0,병원 2,3,18,17
25565,3,8,0,병원 2,3,18,18
25741,4,7,0,병원 2,3,18,21
25880,3,7,0,병원 2,3,18,23
